Name, Red, Green, Blue
building, 255, 255, 255
rough trail, 236, 124, 48
sky, 134, 206, 235
smooth trail, 255, 192, 0
stop_sign, 127, 0, 0
vehicle, 111, 47, 159
yield_sign, 216, 216, 0
